Gene	Is_Overlapped_gene(1,0)	Number_Overlapped_gene	Is_Unique_gene(1,0)	Longest_transcript	TPM_mean	TPM_sd	TPM_rsd	TPM_max	TPM_min
TraesCSU02G000100	0	0	1	TraesCSU02G000100.1	0.006994215	0.02065276	2.9528346	0.104027584	0.0
TraesCSU02G000200	0	0	1	TraesCSU02G000200.1	0.91749305	3.854202	4.200797	21.9937	0.0
TraesCSU02G000300	0	0	1	TraesCSU02G000300.1	0.058088448	0.25614098	4.409499	1.3920734	0.0
TraesCSU02G000400	0	0	1	TraesCSU02G000400.1	0.807472	0.9131044	1.1308186	4.88446	0.096026555
TraesCSU02G000500	0	0	1	TraesCSU02G000500.1	0.9685812	1.3280708	1.3711506	5.07663	0.0
TraesCSU02G000600	0	0	1	TraesCSU02G000600.1	0.0042813243	0.016636433	3.8858151	0.08902318	0.0
TraesCSU02G000700	0	0	1	TraesCSU02G000700.1	18.697792	8.465686	0.45276392	38.0565	5.2217035
TraesCSU02G000800	0	0	1	TraesCSU02G000800.1	2.0628154	1.1578071	0.5612751	5.9996634	0.514415
TraesCSU02G000900	0	0	1	TraesCSU02G000900.1	0.0046069142	0.021522548	4.6717925	0.12565733	0.0
TraesCSU02G001000	0	0	1	TraesCSU02G001000.1	9.035762E-5	5.345629E-4	5.91608	0.0031625167	0.0
TraesCSU02G001100	0	0	1	TraesCSU02G001100.1	1.3762467	1.9071099	1.3857327	8.13423	0.0
TraesCSU02G001200	0	0	1	TraesCSU02G001200.1	0.109519035	0.44754723	4.086479	2.5341566	0.0
TraesCSU02G001300	0	0	1	TraesCSU02G001300.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G001400	0	0	1	TraesCSU02G001400.1	0.06590507	0.119771436	1.8173326	0.6089067	0.0
TraesCSU02G001500	0	0	1	TraesCSU02G001500.1	0.17359443	0.22600423	1.3019096	0.96055883	0.0
TraesCSU02G001600	0	0	1	TraesCSU02G001600.1	0.12758194	0.19738127	1.5470942	0.8396335	0.0
TraesCSU02G001700	0	0	1	TraesCSU02G001700.1	0.10146321	0.073647186	0.7258511	0.36754835	0.0
TraesCSU02G001800	0	0	1	TraesCSU02G001800.1	0.012395671	0.029343843	2.3672655	0.12858154	0.0
TraesCSU02G001900	0	0	1	TraesCSU02G001900.1	3.9469724E-4	0.0013742306	3.4817336	0.0066129	0.0
TraesCSU02G002000	0	0	1	TraesCSU02G002000.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G002100	0	0	1	TraesCSU02G002100.1	0.18871525	0.9582276	5.077637	5.682347	0.0
TraesCSU02G002200	0	0	1	TraesCSU02G002200.1	1.0766972	1.4826677	1.3770517	5.013385	0.0
TraesCSU02G002300	0	0	1	TraesCSU02G002300.1	15.282482	6.4102592	0.41945145	31.8572	5.96137
TraesCSU02G002400	0	0	1	TraesCSU02G002400.1	0.16442022	0.51196253	3.1137445	2.956152	0.0
TraesCSU02G002414	0	0	1	TraesCSU02G002414.1	464.70108	2027.0037	4.361952	11012.566	0.0
TraesCSU02G002423	0	0	1	TraesCSU02G002423.1	0.0064364956	0.026532015	4.1221213	0.11479283	0.0
TraesCSU02G002500	0	0	1	TraesCSU02G002500.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G002600	0	0	1	TraesCSU02G002600.1	2.5525827	2.8202925	1.1048781	12.415433	0.0194809
TraesCSU02G002700	0	0	1	TraesCSU02G002700.1	7.214769E-5	4.268315E-4	5.91608	0.0025251692	0.0
TraesCSU02G002800	0	0	1	TraesCSU02G002800.1	2.5294808E-4	0.0014964611	5.91608	0.008853183	0.0
TraesCSU02G002900	0	0	1	TraesCSU02G002900.1	1.5652256	2.3681881	1.5130012	8.418853	0.0
TraesCSU02G003000	0	0	1	TraesCSU02G003000.1	2.4505217	5.4292593	2.2155523	27.723236	0.0
TraesCSU02G003100	0	0	1	TraesCSU02G003100.1	4.4681653E-4	0.0018837377	4.215909	0.009455278	0.0
TraesCSU02G003200	0	0	1	TraesCSU02G003200.1	10.958727	5.881833	0.536726	33.54233	2.18298
TraesCSU02G003300	0	0	1	TraesCSU02G003300.1	0.5592569	1.210561	2.1645885	6.041045	0.0
TraesCSU02G003400	0	0	1	TraesCSU02G003400.1	0.06901142	0.09433293	1.3669176	0.4822365	0.0
TraesCSU02G003500	0	0	1	TraesCSU02G003500.1	0.049394093	0.055930912	1.1323402	0.228914	0.0
TraesCSU02G003600	0	0	1	TraesCSU02G003600.1	0.20658413	0.59079456	2.8598256	3.5188668	0.0
TraesCSU02G003700	0	0	1	TraesCSU02G003700.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G003800	0	0	1	TraesCSU02G003800.1	0.090817586	0.37563062	4.1361	2.189902	0.0
TraesCSU02G003900	0	0	1	TraesCSU02G003900.1	0.6317913	1.7787704	2.81544	10.373283	0.0
TraesCSU02G004000	0	0	1	TraesCSU02G004000.1	0.6029211	0.33707514	0.55907005	2.0185232	0.1611121
TraesCSU02G004100	0	0	1	TraesCSU02G004100.1	0.017816542	0.035077143	1.9687964	0.14121766	0.0
TraesCSU02G004200	0	0	1	TraesCSU02G004200.1	0.022739448	0.0488689	2.1490803	0.20663346	0.0
TraesCSU02G004300	1	1	1	TraesCSU02G004300.1	3.8376762E-4	0.0022703998	5.91608	0.013431867	0.0
TraesCSU02G004400	1	1	0	TraesCSU02G004400.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G004500	0	0	1	TraesCSU02G004500.1	0.0204617	0.08716932	4.260121	0.5034625	0.0
TraesCSU02G004600	0	0	1	TraesCSU02G004600.1	0.20939262	0.43093145	2.058007	2.2859933	0.0
TraesCSU02G004700	0	0	1	TraesCSU02G004700.1	0.022808643	0.05546645	2.4318173	0.23321167	0.0
TraesCSU02G004800	0	0	1	TraesCSU02G004800.1	0.0014715791	0.003915803	2.6609533	0.015613167	0.0
TraesCSU02G004900	0	0	1	TraesCSU02G004900.1	1.086466	0.62592363	0.5761097	2.75914	0.0494522
TraesCSU02G005000	0	0	1	TraesCSU02G005000.3	0.5867924	0.47046503	0.8017572	2.6671934	0.10585767
TraesCSU02G005100	0	0	1	TraesCSU02G005100.1	93.051735	94.63939	1.017062	357.0125	0.48987734
TraesCSU02G005300	0	0	1	TraesCSU02G005300.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G005400	0	0	1	TraesCSU02G005400.1	0.014320768	0.041771848	2.916872	0.2135655	0.0
TraesCSU02G005500	0	0	1	TraesCSU02G005500.1	0.48802137	2.7286913	5.591336	16.146795	0.0
TraesCSU02G005600	0	0	1	TraesCSU02G005600.1	4.162929	16.057493	3.8572588	91.94002	0.0
TraesCSU02G005700	0	0	1	TraesCSU02G005700.1	0.005241166	0.031007154	5.91608	0.1834408	0.0
TraesCSU02G005800	0	0	1	TraesCSU02G005800.1	0.07238921	0.07076	0.9774938	0.31781065	0.0
TraesCSU02G005900	0	0	1	TraesCSU02G005900.1	1.1498094	1.058074	0.92021686	4.637457	0.0218663
TraesCSU02G006000	0	0	1	TraesCSU02G006000.2	0.1462717	0.34510723	2.3593574	1.5903406	0.0
TraesCSU02G006200	0	0	1	TraesCSU02G006200.1	0.16299282	0.3208151	1.9682775	1.4898213	0.0
TraesCSU02G006300	0	0	1	TraesCSU02G006300.1	0.19213949	0.22418419	1.1667783	1.1125283	0.0
TraesCSU02G006400	0	0	1	TraesCSU02G006400.1	6.23533	2.9002094	0.46512523	15.988367	0.9402843
TraesCSU02G006500	0	0	1	TraesCSU02G006500.1	0.003588995	0.017187841	4.7890406	0.0995826	0.0
TraesCSU02G006600	0	0	1	TraesCSU02G006600.1	3.8579808E-4	0.0022824123	5.91608	0.013502933	0.0
TraesCSU02G006700	0	0	1	TraesCSU02G006700.1	2.692609	15.908285	5.9081306	94.11826	0.0
TraesCSU02G006900	0	0	1	TraesCSU02G006900.1	5.361857E-4	0.0031721175	5.91608	0.0187665	0.0
TraesCSU02G007000	0	0	1	TraesCSU02G007000.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G007100	0	0	1	TraesCSU02G007100.1	4.718095E-4	0.0027912627	5.91608	0.016513333	0.0
TraesCSU02G007200	0	0	1	TraesCSU02G007200.1	3.527859	1.4036378	0.39787242	7.5830564	1.3786547
TraesCSU02G007300	0	0	1	TraesCSU02G007300.1	20.46403	9.63718	0.47093272	44.947617	4.7016535
TraesCSU02G007400	0	0	1	TraesCSU02G007400.1	0.0064424686	0.017515263	2.718719	0.089579664	0.0
TraesCSU02G007500	0	0	1	TraesCSU02G007500.1	0.004293445	0.022955794	5.346707	0.1358606	0.0
TraesCSU02G007600	0	0	1	TraesCSU02G007600.1	0.057043836	0.1446893	2.536458	0.5860817	0.0
TraesCSU02G007700	0	0	1	TraesCSU02G007700.1	5.60979	1.4097282	0.25129786	9.17938	1.0977414
TraesCSU02G007800	0	0	1	TraesCSU02G007800.1	12.006688	5.4985256	0.45795524	35.391033	3.9210567
TraesCSU02G007900	0	0	1	TraesCSU02G007900.1	1.648855	2.6321232	1.596334	11.319413	0.0
TraesCSU02G008000	0	0	1	TraesCSU02G008000.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G008100	0	0	1	TraesCSU02G008100.1	3.3569605	5.793499	1.7258168	29.598974	0.038296033
TraesCSU02G008200	0	0	1	TraesCSU02G008200.1	8.127668	9.21885	1.1342552	35.020416	0.35351613
TraesCSU02G008300	0	0	1	TraesCSU02G008300.1	16.471216	35.738834	2.1697752	149.2738	0.0
TraesCSU02G008400	0	0	1	TraesCSU02G008400.1	0.20848832	0.6875876	3.2979672	3.119959	0.0
TraesCSU02G008500	0	0	1	TraesCSU02G008500.1	0.007845579	0.016522333	2.105942	0.078817934	0.0
TraesCSU02G008700	0	0	1	TraesCSU02G008700.1	8.194903	13.043819	1.591699	55.172466	0.0
TraesCSU02G008800	0	0	1	TraesCSU02G008800.1	8.181829	19.190844	2.345544	88.04504	0.0
TraesCSU02G008900	0	0	1	TraesCSU02G008900.1	5.405656	12.686149	2.3468287	60.017117	0.0
TraesCSU02G009000	0	0	1	TraesCSU02G009000.1	19.51825	27.067917	1.3868005	94.81987	0.0
TraesCSU02G009100	0	0	1	TraesCSU02G009100.1	5.505073	8.887876	1.6144882	36.734768	0.0
TraesCSU02G009200	0	0	1	TraesCSU02G009200.1	86.6356	106.8634	1.2334814	543.214	0.16518357
TraesCSU02G009300	0	0	1	TraesCSU02G009300.1	3.7054632	7.0256295	1.8960193	28.361986	0.0
TraesCSU02G009400	0	0	1	TraesCSU02G009400.1	40.947075	49.800552	1.2162176	178.53946	0.21687306
TraesCSU02G009500	0	0	1	TraesCSU02G009500.1	0.043026324	0.13112421	3.0475347	0.6706013	0.0
TraesCSU02G009600	0	0	1	TraesCSU02G009600.1	0.17049661	0.776502	4.5543547	4.361219	0.0
TraesCSU02G009700	0	0	1	TraesCSU02G009700.1	0.023876414	0.03767413	1.5778806	0.18824367	0.0
TraesCSU02G009800	0	0	1	TraesCSU02G009800.1	0.02497369	0.12927175	5.176317	0.7595315	0.0
TraesCSU02G009900	0	0	1	TraesCSU02G009900.1	1.3859215	1.0010209	0.72227824	3.5019734	0.19757533
TraesCSU02G010000	0	0	1	TraesCSU02G010000.1	0.30987373	0.45663068	1.4736024	1.75622	0.0
TraesCSU02G010100	0	0	1	TraesCSU02G010100.1	0.24437359	0.2093582	0.8567137	0.871078	0.0
TraesCSU02G010200	0	0	1	TraesCSU02G010200.1	0.30987373	0.45663068	1.4736024	1.75622	0.0
TraesCSU02G010300	0	0	1	TraesCSU02G010300.1	0.06354209	0.10707211	1.685058	0.474497	0.0
TraesCSU02G010400	0	0	1	TraesCSU02G010400.1	1.4832484	5.964626	4.0213265	27.925667	0.0
TraesCSU02G010500	0	0	1	TraesCSU02G010500.1	0.03647273	0.118125394	3.238732	0.6215595	0.0
TraesCSU02G010600	0	0	1	TraesCSU02G010600.1	0.0069028726	0.018143479	2.6283953	0.069857955	0.0
TraesCSU02G010700	0	0	1	TraesCSU02G010700.1	3.8251156E-4	0.0014233802	3.7211428	0.0075621963	0.0
TraesCSU02G010800	0	0	1	TraesCSU02G010800.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G011000	0	0	1	TraesCSU02G011000.1	0.012427033	0.026358785	2.1210842	0.12333967	0.0
TraesCSU02G011100	0	0	1	TraesCSU02G011100.1	1.7099031	1.9786733	1.1571845	7.1142507	0.006508733
TraesCSU02G011200	0	0	1	TraesCSU02G011200.1	1.1300629	1.2694104	1.1233095	4.8882976	0.015147367
TraesCSU02G011300	0	0	1	TraesCSU02G011300.1	0.016642816	0.03540906	2.1275883	0.18490618	0.0
TraesCSU02G011400	0	0	1	TraesCSU02G011400.1	7.7965285E-4	0.0038162468	4.8948026	0.022133	0.0
TraesCSU02G011500	0	0	1	TraesCSU02G011500.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G011600	0	0	1	TraesCSU02G011600.1	3.2477084E-4	0.0014525601	4.472569	0.008219983	0.0
TraesCSU02G011700	0	0	1	TraesCSU02G011700.1	4.442626	11.005245	2.4771938	51.8564	0.0
TraesCSU02G011800	0	0	1	TraesCSU02G011800.1	1.4291314	1.1468359	0.80247056	4.1361775	0.0
TraesCSU02G011900	0	0	1	TraesCSU02G011900.2	0.6178798	1.8945754	3.0662525	9.706206	0.0
TraesCSU02G012000	0	0	1	TraesCSU02G012000.1	2.5618286E-4	0.0015155983	5.91608	0.0089664	0.0
TraesCSU02G012100	0	0	1	TraesCSU02G012100.1	0.007590191	0.044904176	5.91608	0.26565668	0.0
TraesCSU02G012200	0	0	1	TraesCSU02G012200.1	1.4445734	5.2060323	3.6038547	28.390867	0.0
TraesCSU02G012300	0	0	1	TraesCSU02G012300.1	1.5178652	0.982798	0.647487	3.5497468	0.027884634
TraesCSU02G012400	0	0	1	TraesCSU02G012400.1	10.220406	4.8340783	0.472983	31.506866	3.3607266
TraesCSU02G012500	0	0	1	TraesCSU02G012500.1	5.155933	2.7694254	0.53713375	11.695983	0.6810877
